CONDENSED,EXPANDED
ww,div.
xx,unis.
ttt,tutti
con s,con sord.
sen s,senza sord.
mutb,bucket mute
mutc,cup mute
mutha,harmon mute
muths,harmon mute with stem
mutehn,harmon mute wihtout stem
mutp,plunger mute
muts,straight mute
aa,arco
qq,ord.
sult,sul tasto
sulp,sul pont.
overp,overpressure
flauta,flautando
spc,spiccato
sts,staccatissimo
zz,pizz.
bart,bartók pizz.
colb,col legno battuto
colt,col legno tratto
bocca c,bocca chiusa
molto acc,molto accentuato
poco acc,poco accentuato
senza acc,senza accentuato
esp,espressivo
legg,leggiero
senza f,senza forzare